"Golfer","Rank","Odds"
"Scottie Scheffler","1","7/1"
"Rory McIlroy","2","7/1"
"Jon Rahm","3","9/1"
"Viktor Hovland","4","35/1"
"Patrick Cantlay","5","18/1"
"Xander Schauffele","6","22/1"
"Matt Fitzpatrick","7","40/1"
"Max Homa","8","25/1"
"Brian Harman","9","130/1"
"Tom Kim","11","70/1"
"Collin Morikawa","12","22/1"
"Tyrrell Hatton","13","50/1"
"Jordan Spieth","14","16/1"
"Tommy Fleetwood","15","50/1"
"Keegan Bradley","16","110/1"
"Cameron Young","17","28/1"
"Brooks Koepka","18","35/1"
"Cameron Smith","19","22/1"
"Sam Burns","20","35/1"
"Jason Day","21","22/1"
"Tony Finau","22","20/1"
"Sepp Straka","23","300/1"
"Russell Henley","25","130/1"
"Sungjae Im","26","35/1"
"Ryan Fox","27","130/1"
"Justin Thomas","28","20/1"
"Sahith Theegala","29","110/1"
"Kurt Kitayama","30","130/1"
"Corey Conners","33","35/1"
"Shane Lowry","35","60/1"
"Hideki Matsuyama","36","40/1"
"Justin Rose","37","55/1"
"Harris English","39","250/1"
"J.T. Poston","40","250/1"
"Si Woo Kim","41","90/1"
"Min Woo Lee","44","65/1"
"Adam Scott","45","100/1"
"Adrian Meronk","46","250/1"
"Chris Kirk","47","130/1"
"Taylor Moore","51","180/1"
"Billy Horschel","52","180/1"
"Tom Hoge","56","100/1"
"Adam Svensson","59","250/1"
"Alexander Noren","60","200/1"
"Kyoung-Hoon Lee","63","300/1"
"Keith Mitchell","66","80/1"
"Patrick Reed","67","60/1"
"Seamus Power","68","130/1"
"Joaquin Niemann","70","55/1"
"Gary Woodland","79","200/1"
"Mito Pereira","86","100/1"
"Scott Stallings","91","300/1"
"Abraham Ancer","101","110/1"
"Mackenzie Hughes","105","250/1"
"Phil Mickelson","117","250/1"
"Dustin Johnson","137","25/1"
"Thomas Pieters","141","150/1"
"Bryson DeChambeau","142","100/1"
"Kevin Kisner","144","400/1"
"Harold Varner","161","200/1"
"Danny Willett","180","130/1"
"Kazuki Higa","182","400/1"
"Sergio Garcia",">200","110/1"
"Talor Gooch",">200","130/1"
"Bubba Watson",">200","200/1"
"Jason Kokrak",">200","250/1"
"Cameron Champ",">200","300/1"
"Charl Schwartzel",">200","300/1"
"Francesco Molinari",">200","300/1"
"Zach Johnson",">200","500/1"
"Bernhard Langer",">200","1000/1"
"Gordon Sargent",">200","1000/1"
"Sam Bennett",">200","2000/1"
"Aldrich Potgieter",">200","2500/1"
"Fred Couples",">200","2500/1"
"Harrison Crowe",">200","2500/1"
"Mateo Fernandez de Oliveira",">200","2500/1"
"Matthew McClean",">200","2500/1"
"Mike Weir",">200","2500/1"
"Ben Carr",">200","5000/1"
"Jose Maria Olazabal",">200","5000/1"
"Larry Mize",">200","5000/1"
"Sandy Lyle",">200","5000/1"
"Vijay Singh",">200","5000/1"
